date,y_true,y_iohmm,y_har,y_garch,dom_state
2020-03-17,-5.914568054630738,-4.192216370836264,-7.677875472490524,-4.8785345540280245,0
2020-03-18,-12.307894764821222,-8.082889921468421,-7.719051540192997,-5.0798206484164865,0
2020-03-19,-5.9949286168002605,-5.119810777306267,-7.705023720061647,-5.244427825345034,0
2020-03-20,-7.306951378482505,-3.7951604494305076,-8.091086029730192,-5.5694332407685465,0
2020-03-23,-4.88988660924592,-1.3969286669983603,-7.935516596143464,-5.660864168091547,1
2020-03-24,-8.418222339396067,-3.69631048951174,-8.401642264423709,-5.90923439596888,1
2020-03-25,-5.7382419989176725,-7.289618964144606,-8.08079263371403,-5.520830899731286,1
2020-03-26,-6.997283601949449,-8.42577609053796,-8.307174575753372,-5.825979860379223,1
2020-03-27,-6.886560229076769,-12.500662690295473,-8.081618021881882,-5.81177251668712,1
2020-03-30,-8.397022310656915,-12.230641989986555,-8.178910765492242,-6.016309232551606,0
2020-03-31,-6.156091946320556,-15.08248204003543,-8.166095014672102,-6.201318767158614,0
2020-04-01,-7.560814241683878,-12.526180240379915,-8.607262599484525,-6.479282252564615,0
2020-04-02,-8.458952320788844,-8.761337134009826,-8.389308916187861,-6.357779667843329,0
2020-04-03,-5.466526355301805,-8.528500645654086,-8.648524572007936,-6.583441073869459,1
2020-04-06,-13.768358460452864,-6.489938753349529,-8.759999064506784,-6.843714599293155,0
2020-04-07,-6.821438364488761,-8.377577683409282,-8.37210401738886,-6.261474421717393,0
2020-04-08,-8.385714563415238,-8.107796924404493,-8.68841482147807,-6.5801451979752335,0
2020-04-09,-9.383061818616827,-11.125599893120443,-8.530458354708866,-6.654490137191885,1
2020-04-13,-7.076338312809903,-11.886854503864503,-8.366264816471656,-6.918083839898137,1
2020-04-14,-7.68151516754773,-11.339446657981185,-8.432005263255213,-7.199227168626604,0
2020-04-15,-10.672564149413239,-10.981097108188637,-8.824806359030285,-7.183433099140898,0
2020-04-16,-7.249395799056474,-9.136326692570842,-8.798551052178173,-7.273921118626004,1
2020-04-17,-8.059890164419231,-8.883905703730612,-9.274455344437179,-7.588028751470597,1
2020-04-20,-6.9582794325705635,-9.478069866515634,-9.019421043578145,-7.50573079211375,0
2020-04-21,-7.637789108893058,-8.934543292847469,-9.028871290956442,-7.601742048676959,0
2020-04-22,-18.00556888205385,-7.947527178984429,-8.949540865352763,-7.341451827271376,0
2020-04-23,-8.559977254443115,-9.551302502504157,-8.996620430440586,-7.4327518420639525,0
2020-04-24,-8.492778151269572,-9.17008090144806,-9.461277102684612,-7.748830257699731,0
2020-04-27,-10.75900653060773,-8.628749328607265,-9.262447730664618,-7.932324355788746,1
2020-04-28,-7.311516706981444,-9.91263524841573,-9.288364172393885,-8.07917331374766,1
2020-04-29,-9.343727917965044,-10.26995268485101,-9.788038531361902,-8.355389733356045,0
2020-04-30,-7.23644326210391,-10.914820388231037,-9.55123064888064,-7.977316228687853,1
2020-05-01,-11.787772918898956,-10.817768890299629,-9.621424537753434,-8.17419823254239,0
2020-05-04,-9.377658886853952,-9.667910900989574,-9.33874743688644,-7.767521230249954,0
2020-05-05,-9.980919334326623,-9.58747350591539,-9.64395172576781,-8.077298932779442,0
2020-05-06,-8.846529091309021,-10.12339082514291,-9.529374238758809,-8.311044737937337,0
2020-05-07,-8.219594124083528,-9.647657495938637,-9.804985985316911,-8.52577352932489,0
2020-05-08,-16.77043130371888,-9.437728530046849,-9.854808442912528,-8.629135420085369,0
2020-05-11,-7.810776154551438,-11.077368876032843,-10.106847523241262,-8.533500818473108,0
2020-05-12,-8.052130025852732,-10.335798471881924,-10.496957732855796,-8.835354542195642,0
2020-05-13,-8.862990106043304,-10.51434328640963,-9.928715524856099,-8.36233037665882,0
2020-05-14,-10.76883019339607,-10.192693545606286,-9.794304808190105,-8.212080324168246,0
2020-05-15,-7.0127708662636135,-10.263588718764138,-9.856433482023874,-8.370309575009138,1
2020-05-18,-9.1464170549746,-10.92947908282498,-10.069192384283966,-8.6540942190536,1
2020-05-19,-8.16732782891152,-10.43830064242893,-9.54629356694046,-7.938833815443178,0
2020-05-20,-9.944192898534412,-10.175225460184908,-9.742599758043733,-8.11716152369586,1
2020-05-21,-12.5319060852491,-10.36703036997222,-9.719091928209307,-8.155504114656033,0
2020-05-22,-8.805163993473258,-10.271357597174518,-9.864613125090248,-8.377748467607232,0
2020-05-26,-8.430350156751256,-10.198982176353196,-9.995696293490349,-8.676501245583912,0
2020-05-27,-12.5858320885432,-10.98627161045153,-10.246978034780895,-8.737400866449121,0
2020-05-28,-10.83099125237139,-10.884010065672172,-10.147160692182629,-8.678985087293235,0
2020-05-29,-11.025583524556067,-11.613316870413477,-10.562596382428577,-8.954358325805016,0
2020-06-01,-9.595893809663096,-11.458362280675523,-10.53088696615444,-9.214431671523771,0
2020-06-02,-8.651919794473821,-12.028998173055623,-10.566476546381189,-9.469494946388904,0
2020-06-03,-11.879969758432964,-11.236837627975016,-10.624072524097414,-9.531978807708384,1
2020-06-04,-7.35336428387001,-11.675978671892093,-10.701254172182312,-9.256085545200708,0
2020-06-05,-8.84312789095095,-11.514812227427848,-10.81575699999911,-9.481231667004135,0
2020-06-08,-9.789627736165116,-10.875033797381322,-10.04008256718814,-8.440458027519522,0
2020-06-09,-10.37122032989951,-11.04448598389651,-10.024143604335611,-8.55681916232723,0
2020-06-10,-5.647680088720464,-10.76218644837083,-10.071446028112609,-8.717676567725713,0
2020-06-11,-8.861602086917431,-10.201187717937803,-10.14774320237731,-8.910217613764766,0
2020-06-12,-9.357014651175007,-8.64276379480465,-9.005154487507056,-6.844818702717617,0
2020-06-15,-7.919795794750971,-9.131170854259373,-9.177151110627252,-7.110722650406323,1
2020-06-16,-10.962702928519672,-9.301044297636045,-9.210427049799318,-7.381199175090813,1
2020-06-17,-15.659514459273923,-9.394428577829384,-9.117335490168276,-7.510563431242695,0
2020-06-18,-9.185948854643103,-9.750239447659249,-9.215334837806324,-7.787152610793105,1
2020-06-19,-10.10433081140704,-10.64346713259332,-10.347358686802925,-8.079928783921533,1
2020-06-22,-10.765922893048636,-10.47255556065736,-10.1757129842142,-8.23799613498342,1
2020-06-23,-7.311671901298557,-11.31147740619767,-10.257996936890702,-8.494473947303113,0
2020-06-24,-9.081772036066091,-11.531275402552707,-10.800634791935055,-8.7673355113041,1
2020-06-25,-7.456213403372158,-10.325864913937147,-9.911065505368533,-8.081354996671255,1
2020-06-26,-8.454708502542392,-10.497619378866153,-9.90583545367292,-8.269709131318937,1
2020-06-29,-8.727809372127258,-10.392728116949979,-9.63774725252099,-7.942281428420581,1
2020-06-30,-9.929095177783003,-10.56237287187756,-9.60391993772706,-8.06689654570255,1
2020-07-01,-10.408646975669107,-10.215188958542647,-9.564778071243074,-8.214041287371316,1
2020-07-02,-8.35723829698447,-10.497049213966461,-9.818435594512234,-8.453732990745683,1
2020-07-06,-9.138094223127766,-10.13731968541966,-9.87348566337006,-8.703513259272365,1
2020-07-07,-9.753903969581073,-10.747149876332884,-10.004934727687496,-8.633893852290623,1
2020-07-08,-10.331050309053142,-10.256627637295496,-10.107097457083118,-8.685503239306332,1
2020-07-09,-9.178738847785247,-10.844645192680392,-10.2483429294097,-8.879784854117368,1
2020-07-10,-9.489498061834762,-10.167040250448725,-10.288516079431531,-9.044042422432144,1
2020-07-13,-8.704756035501118,-10.66531956001817,-10.145748734043627,-9.102082684422394,1
2020-07-14,-9.388913512122512,-10.741443777456771,-10.31862193304295,-9.111132973620002,1
2020-07-15,-11.427421573372886,-10.667205840833125,-10.454375302480326,-9.024658171471588,1
2020-07-16,-11.688433608488408,-10.810806583788935,-10.455941924678513,-9.12677206401159,1
