Date,y,state,p_Low Vol,p_Mid Vol,p_High Vol
2019-11-05,-2.899403924160675,0,0.9881121529609586,0.00048645749508600657,0.011401389543980418
2019-11-06,-2.876531428061021,0,0.9952680389324617,0.0002331219374779802,0.004498839130077705
2019-11-07,-2.8749003320245787,0,0.9876831885663334,0.0026610472806222075,0.009655764153058874
2019-11-08,-2.886298085856746,0,0.8646059765643477,0.12374162021124996,0.01165240322439643
2019-11-11,-2.87468428056824,0,0.8593710265751601,0.11988592505979791,0.020743048365044772
2019-11-12,-2.893340096809312,0,0.5398221542768639,0.41054082714789136,0.04963701857522451
2019-11-13,-2.891804189675979,0,0.6415371640218881,0.20091373100860135,0.15754910496951124
2019-11-14,-2.992391706916153,0,0.7950983242687681,0.1336664247177798,0.07123525101343788
2019-11-15,-3.1575433294308755,0,0.9262387288825205,0.05531547184101206,0.018445799276458716
2019-11-18,-3.194778842696752,0,0.9927829026577204,0.005447118875745421,0.0017699784665209993
2019-11-19,-3.2263212038494316,0,0.9893021756973422,0.009573421678857247,0.0011244026238010473
2019-11-20,-3.043908775145796,0,0.9879966737812746,0.0036948878101434324,0.008308438408580998
2019-11-21,-3.0450629386847416,0,0.9877396788897166,0.0049006015904659635,0.007359719519826636
2019-11-22,-3.0501025747445603,0,0.9941982911412557,0.002938570975401845,0.0028631378833553914
2019-11-25,-2.8726622539666384,0,0.9777044398167138,0.015326324871171366,0.006969235312104935
2019-11-26,-2.8718890174717373,0,0.990268485265543,0.006816132619498239,0.0029153821149717463
2019-11-27,-2.8524842435052915,0,0.9702060686497407,0.02525005670098671,0.004543874649289128
2019-11-29,-2.739515929559369,1,0.4488271450953618,0.512661478620235,0.03851137628442965
2019-12-02,-2.610041920811067,0,0.664058045179885,0.3007989016009307,0.03514305321919842
2019-12-03,-2.5192618530409607,0,0.6920145675686115,0.2799486924379171,0.028036739993494826
2019-12-04,-2.4325564695381248,0,0.6448790442573139,0.12031794613586648,0.23480300960681566
2019-12-05,-2.45490498097557,0,0.7803032436934945,0.08569541157638087,0.134001344730147
2019-12-06,-2.3522266253015403,0,0.5753433530658988,0.18113662740587647,0.24352001952824873
