Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2020-09-03,318.8940124511719,345.3900146484375,356.3800048828125,342.5899963378906,355.8699951171875,148011100
2020-09-04,316.29034423828125,342.57000732421875,347.8299865722656,334.8699951171875,346.1300048828125,139156300
2020-09-08,307.6482849121094,333.2099914550781,342.6400146484375,332.8800048828125,336.7099914550781,114465300
2020-09-09,313.72357177734375,339.7900085449219,342.4599914550781,336.6099853515625,337.54998779296875,91462300
2020-09-10,308.2762451171875,333.8900146484375,342.5299987792969,332.8500061035156,341.82000732421875,90569500
2020-09-11,308.43310546875,334.05999755859375,336.9700012207031,331.0,335.82000732421875,84680200
2020-09-14,312.4955139160156,338.4599914550781,340.3800048828125,334.2200012207031,337.489990234375,65605700
2020-09-15,314.074462890625,340.1700134277344,342.0199890136719,338.4700012207031,341.1199951171875,52920900
2020-09-16,312.82794189453125,338.82000732421875,343.05999755859375,338.5199890136719,341.510009765625,82096000
2020-09-17,310.07659912109375,335.8399963378906,337.70001220703125,332.989990234375,333.55999755859375,91523300
2020-09-18,306.50677490234375,330.6499938964844,335.489990234375,327.9700012207031,335.3699951171875,105877900
2020-09-21,303.095458984375,326.9700012207031,327.1300048828125,321.7300109863281,325.70001220703125,99450800
2020-09-22,306.1823425292969,330.29998779296875,330.8999938964844,325.8599853515625,328.57000732421875,63612100
2020-09-23,299.0816650390625,322.6400146484375,331.20001220703125,322.1000061035156,330.8999938964844,93112200
2020-09-24,299.87884521484375,323.5,326.79998779296875,319.79998779296875,321.2200012207031,76681300
2020-09-25,304.7270202636719,328.7300109863281,329.5799865722656,321.6400146484375,322.5799865722656,71069400
2020-09-28,309.788330078125,334.19000244140625,334.9599914550781,332.1499938964844,333.2200012207031,64584600
2020-09-29,308.1011657714844,332.3699951171875,334.7699890136719,331.6199951171875,333.9700012207031,51304000
2020-09-30,310.437255859375,334.8900146484375,338.2900085449219,332.8800048828125,333.0899963378906,104081100
2020-10-01,312.43017578125,337.0400085449219,338.739990234375,335.010009765625,337.69000244140625,88698700
2020-10-02,309.4638366699219,333.8399963378906,337.010009765625,331.19000244140625,331.70001220703125,89431100
2020-10-05,314.9515075683594,339.760009765625,339.9599914550781,336.010009765625,336.05999755859375,45713100
2020-10-06,310.47430419921875,334.92999267578125,342.1700134277344,334.3800048828125,339.9100036621094,90128900
2020-10-07,315.8785400390625,340.760009765625,341.6300048828125,338.0899963378906,338.1199951171875,56999600
2020-10-08,318.6781005859375,343.7799987792969,343.8500061035156,341.8599853515625,342.8500061035156,45242500
2020-10-09,321.5238952636719,346.8500061035156,347.3500061035156,344.8900146484375,345.55999755859375,59528600
2020-10-12,326.6964416503906,352.42999267578125,354.0199890136719,349.05999755859375,349.5899963378906,80388500
2020-10-13,324.5644226074219,350.1300048828125,352.4700012207031,349.0899963378906,352.2799987792969,73255500
2020-10-14,322.52496337890625,347.92999267578125,351.92999267578125,347.1400146484375,350.75,57727900
2020-10-15,322.1263427734375,347.5,348.0199890136719,343.1300048828125,343.7099914550781,60357700
